ZIP,STATE,TOTAL_DEPOSITS,BRANCH_COUNT,LAT,LON,AVG_DEPOSIT_PER_BRANCH,NORM_DEPOSIT_BASE,NORM_BRANCH_DENSITY,OPPORTUNITY_SCORE,CAPTURE_PCT,EXPECTED_CAPTURE_USD
95814,CA,40173315000,12,38.57903624469368,-121.49934604600958,3347776250.0,39.880175938745644,2.919107693973686,22.76046248565791,0.1,4017331500.0
33716,FL,38355667000,1,27.8887549824495,-82.6669759595147,38355667000.0,38.07579106200075,0.24325897449780715,22.748171047401325,0.1,3835566700.0
53202,WI,37735274000,19,43.04139242109958,-87.90555595004162,1986067052.631579,37.45992498295882,4.621920515458336,20.627186783591956,0.1,3773527400.0
85004,AZ,33612045000,4,33.44988033568947,-112.07234860494376,8403011250.0,33.366782608331825,0.9730358979912286,19.630855205802604,0.1,3361204500.0
10018,NY,35525320000,18,40.74602615261821,-73.98634230391718,1973628888.8888888,35.26609670823131,4.378661540960529,19.408193408554574,0.1,3552532000.0
64106,MO,32468066000,5,39.09992687552924,-94.58000816038668,6493613200.0,32.231151063107575,1.2162948724890357,18.85217268886893,0.1,3246806600.0
19103,PA,35985842000,28,39.95198374315255,-75.17018251727166,1285208642.857143,35.723258343602026,6.8112512859386,18.709454491785777,0.1,3598584200.0
23220,VA,31676576000,2,37.5580444943896,-77.4632574932013,15838288000.0,31.44543645494647,0.4865179489956143,18.672654693369633,0.1,3167657600.0
20006,DC,33811681000,18,38.90195169667817,-77.0409794883061,1878426722.2222223,33.56496189235923,4.378661540960529,18.387512519031326,0.1,3381168100.0
78245,TX,31630900000,5,29.435519325284123,-98.6703123183318,6326180000.0,31.400093746330608,1.2162948724890357,18.35353829880275,0.1,3163090000.0
85016,AZ,34800134000,29,33.50837956773489,-112.03016967354121,1200004620.689655,34.54620228905492,7.054510260436407,17.905917269258385,0.1,3480013400.0
63102,MO,30453721000,6,38.628055203533,-90.18937711612766,5075620166.666667,30.231504456863295,1.459553846986843,17.55508113532324,0.1,3045372100.0
14203,NY,30268985000,5,42.88967920245606,-78.87239521612939,6053797000.0,30.048116449619677,1.2162948724890357,17.54235192077619,0.1,3026898500.0
06905,CT,32097007000,18,41.085237772709334,-73.54543925893745,1783167055.5555556,31.8627996287374,4.378661540960529,17.36621516085823,0.1,3209700700.0
33134,FL,35270629000,46,25.751673907632824,-80.25985893453975,766752804.3478261,35.013264152839376,11.189912826899128,16.531993360943975,0.1,3527062900.0
10016,NY,31738265000,29,40.746797795766284,-73.98219730553663,1094422931.0344827,31.506675318940772,7.054510260436407,16.082201087189897,0.1,3173826500.0
94105,CA,28926671000,12,37.790337999020885,-122.39634625492432,2410555916.6666665,28.715597127152975,2.919107693973686,16.06171519870231,0.1,2892667100.0
30303,GA,28129871000,8,33.75908166164457,-84.38785190810984,3516233875.0,27.924611265319253,1.9460717959824572,15.976338040798568,0.1,2812987100.0
75225,TX,32369159000,36,32.86338368231487,-96.80444778787154,899143305.5555556,32.13296577365428,8.757323081921058,15.776850231424142,0.1,3236915900.0
32202,FL,27589291000,8,30.326075947529702,-81.66178771488448,3448661375.0,27.3879758019783,1.9460717959824572,15.654356762793997,0.1,2758929100.0
37203,TN,30044182000,27,36.1517998120531,-86.79640680145067,1112747481.4814816,29.824953805671626,6.567992311440793,15.267775358826658,0.1,3004418200.0
30305,GA,29026428000,21,33.84071450740568,-84.37873692514839,1382210857.142857,28.814626214275147,5.1084384644539504,15.245400342783508,0.1,2902642800.0
84101,UT,26766572000,9,40.76271964544343,-111.89276191906679,2974063555.5555553,26.571260067462767,2.1893307704802645,15.067023732285554,0.1,2676657200.0
90210,CA,26745821000,9,34.068556534871014,-118.40229676302289,2971757888.888889,26.550660484607707,2.1893307704802645,15.054663982572517,0.1,2674582100.0
46204,IN,28163123000,18,39.76986166488923,-86.15681198590967,1564617944.4444444,27.957620630125597,4.378661540960529,15.023107761691147,0.1,2816312300.0
48084,MI,27041455000,12,42.55983308193266,-83.16890658958299,2253454583.3333335,26.844137284654582,2.919107693973686,14.938839293203273,0.1,2704145500.0
15258,PA,24808000000,1,40.439645010251,-79.995911018921,24808000000.0,24.62697949343742,0.24325897449780715,14.678884106263329,0.1,2480800000.0
30308,GA,25578892000,8,33.77425737447304,-84.38168298307887,3197361500.0,25.39224640232387,1.9460717959824572,14.45691912300134,0.1,2557889200.0
